Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса проживання,Телефон,Email
Тягнибок,Орест,Євгенович,male,1998-02-03,Дизайнер,село Новоазовськ,"провулок Лиманчик 2-й Лінія 9-та, буд. 06 кв. 900, Ржищів, 54704",+380 70 961-34-89,ielyseiievtushenko@example.net
Левченко,Костянтин,Володимирович,male,1980-09-24,Художник,селище Бахмут,"набережна Пересипський 2-й, буд. 197, Марганець, 70026",+380 20 279-45-34,vasylashkopanas@example.org
Ребрик,Лариса,Ігорівна,female,1965-03-19,Клавішник,село Кривий Ріг,"шосе Поперечний, буд. 740, Енергодар, 85450",+380 05 069 59 65,qfomenko@example.net
Ващенко-Захарченко,Маруся,Дмитрівна,female,2003-09-29,Випробувач,хутір Карлівка,"шосе Латвійський узвіз, буд. 81 кв. 9, Хрустальний, 27939",+380 62 954-08-90,iefremmakarenko@example.com
Кащенко,Степан,Сергійович,male,1995-04-14,Мовознавець,місто Ямпіль,"проспект Юхима Геллера, буд. 9 кв. 30, Деражня, 44314",+380 96 508-65-16,nzaika@example.net
Рубець,Орися,Павлівна,female,1955-08-03,Клавішник,село Моршин,"парк Старосінна, буд. 51, Часів Яр, 40027",015 662-41-48,vashchenko-zakharchenkomariia@example.org
Рева,Світлана,Миколаївна,female,1975-03-24,Фермер,хутір Одеса,"сквер Опішнянський, буд. 062 кв. 9, Бахчисарай, 14563",+380 46 106-92-27,varvara82@example.net
Сиротенко,Лариса,Сергіївна,female,1964-03-14,Сантехнік,село Конотоп,"площа Глиняна, буд. 027, Бахчисарай, 46535",058 051-27-85,fartushniaksviatoslav@example.com
Корпанюк,Вадим,Володимирович,male,1942-01-12,Мовознавець,селище Коростень,"узвіз Хаджибейський 3-й, буд. 48 кв. 94, Яготин, 75995",+380 48 283 46 36,leopoldtsarenko@example.net
Ткач,Андрій,Дмитрович,male,2006-10-08,Стиліст,селище Слов'янськ,"проспект Кишинівська, буд. 29, Южноукраїнськ, 74357",056 550 43 75,mlevchenko@example.org
Чумак,Михайлина,Владиславівна,female,1975-01-20,Медик,село Нікополь,"шосе Лінія 41-ша, буд. 413 кв. 3, Радивилів, 39590",025-33-45,svitlana22@example.net
Баран,Іван,Андрійович,male,2002-05-23,Диригент,місто Алупка,"сквер Пішонівська, буд. 97 кв. 038, Корюківка, 13472",012 602 74 72,hryhoriibaturynets@example.com
Гресь,Хома,Олексійович,male,1989-05-05,М'ясник,місто Жовква,"набережна Набережна, буд. 583, Стебник, 27592",+380 26 212-63-67,zakhar03@example.net
Онищенко,Ліза,Ігорівна,female,1943-06-23,Правник,хутір Зоринськ,"набережна Соляний 6-й, буд. 342, Луцьк, 91199",+380 63 795 48 10,varvaravakulenko@example.org
Бабій,Олена,Олексіївна,female,1946-08-30,Складальник,хутір Суходільськ,"сквер Удільний, буд. 7 кв. 0, Суми, 24363",028 989-05-41,syrotenkosnizhana@example.org
Атаманюк,Климент,Миколайович,male,1969-08-27,Кухар,місто Харків,"проспект Осипова, буд. 137 кв. 7, Мукачево, 83954",538-88-20,bhydenkozlatoslava@example.com
Швайка,Василина,Володимирівна,female,2004-03-27,Фотограф,селище Попасна,"провулок Віталія Нестеренка, буд. 519 кв. 5, Носівка, 54547",+380 36 093-77-18,andriichukzlatoslava@example.com
Килимник,Демʼян,Володимирович,male,1993-05-02,Мінералог,село Новоград-Волинський,"площа Вірського, буд. 6, Жданівка, 60596",094 264 29 76,hlib17@example.net
Єщенко,Яків,Васильович,male,1975-11-28,Актор,село Селидове,"вулиця Закарпатська, буд. 5, Славута, 19728",093 572 96 95,mhaidabura@example.net
Базилевич,Панас,Олексійович,male,1985-06-17,Кінокритик,село Переяслав,"шосе Західний 2-й, буд. 229, Новоград-Волинський, 32482",206-70-11,avramchukvitalii@example.org
Бездітко,Тетяна,Миколаївна,female,1982-08-19,Режисер,місто Токмак,"сквер Житомирський 4-й, буд. 09 кв. 986, Долинська, 18708",974 99 34,omelian61@example.net
Слюсар,Клавдія,Олексіївна,female,1989-12-17,Електрослюсар,село Буськ,"сквер Орликова, буд. 193, Зимогір'я, 67280",048 239-15-04,borys18@example.org
Зубко,Ірина,Денисівна,female,1977-03-31,Мірошник,село Ужгород,"узвіз Банний, буд. 881 кв. 4, Канів, 18942",+380 82 551-63-10,bohuslavashchyrytsia@example.com
Шутько,Ігнат,Владиславович,male,1950-10-09,Круп'є,хутір Ірміно,"площа Західний 2-й, буд. 387, Кропивницький, 39905",058 971 02 38,vitaliishcherbak@example.org
Цимбалюк,Веніямин,Іванович,male,2005-11-10,Шериф,село Вознесенівка,"провулок Чернишевського, буд. 57 кв. 5, Вашківці, 79634",634-70-82,volodymyr21@example.com
Вишняк,Еріка,Миколаївна,female,1962-06-11,Фермер,хутір Камінь-Каширський,"площа Офіцерський 1-й, буд. 155 кв. 6, Миколаїв, 39119",+380 74 059-49-72,orynapalii@example.net
Сич,Розалія,Дмитрівна,female,1987-10-31,Золотар,селище Кипуче,"площа Йоганна Ансельма, буд. 36 кв. 968, Андрушівка, 64088",+380 (20) 749-15-16,jpavlychenko@example.net
Сагаль,Данна,Денисівна,female,1949-12-07,Будник,село Луцьк,"провулок Бузковий 1-й, буд. 94, Гірник, 37715",098 769 38 74,roksolana96@example.org
Бабенко,Тарас,Володимирович,male,1983-04-24,Перекладач,місто Монастирище,"проспект Елеваторна, буд. 355, Нова Каховка, 56409",+380 30 459-45-80,kolodubmarko@example.com
Акуленко,Розалія,Юріївна,female,1968-09-13,Модель,село Дебальцеве,"узвіз Металістів, буд. 050 кв. 791, Ізюм, 69178",012 135-02-98,okseniiaorlyk@example.com
Стельмах,Юхим,Олександрович,male,1998-08-31,Слідчий,місто Перечин,"провулок Старокінний, буд. 04 кв. 36, Судак, 76276",+380 14 165-42-78,amatviienko@example.com
Павлик,Олена,Володимирівна,female,1984-03-01,Фотограф,місто Новоселиця,"шосе Миколи Вороного, буд. 519, Теребовля, 04214",+380 44 815-30-44,kharchenkokyrylo@example.org
Байда,Феофан,Володимирович,male,1994-05-21,Модель,хутір Шостка,"сквер Волтона, буд. 4 кв. 6, Галич, 73816",+380 39 780-43-28,anton42@example.com
Андрійчук,Сніжана,Олексіївна,female,1992-09-06,Журналіст,місто Ясинувата,"площа Капітана Кузнецова, буд. 68, Теребовля, 79654",068 868 09 78,gzinchenko@example.org
Гузій,Еріка,Романівна,female,1963-05-16,Хімік,селище Златопіль,"узвіз Льва Симиренка, буд. 49 кв. 59, Арциз, 48797",020 175 98 36,larysakhomenko@example.net
Сіробаба,Єфрем,Андрійович,male,1992-10-26,Літературознавець,селище Бобринець,"парк 11-та ст. Великого Фонтану пляж, буд. 40, Кам'янець-Подільський, 84520",+380 75 900-47-03,andriiieresko@example.com
Цюпа,Ярослава,Василівна,female,1969-08-09,Мовознавець,місто Здолбунів,"набережна Гобеленова, буд. 2, Костянтинівка, 27702",662 60 24,dziubasymon@example.net
Хорішко,Гордій,Миколайович,male,1938-05-30,Мірошник,село Миронівка,"набережна Лінія 28-ма, буд. 25 кв. 81, Новоукраїнка, 72164",+380 (11) 426-32-93,uzaiets@example.com
Чередник,Святослава,Павлівна,female,1939-07-10,Кухар,хутір Молочанськ,"парк Чорноморська, буд. 811 кв. 585, Глиняни, 40842",+380 06 253-91-42,xolifirenko@example.com
Олійник,Аврелій,Юрійович,male,1977-12-05,Археолог,хутір Чернігів,"площа Заводська 3-тя, буд. 1, Міусинськ, 88705",+380 41 064-72-65,cmykhaliuk@example.org
Захарченко,Августин,Павлович,male,1951-03-21,Секретар,хутір Хотин,"набережна Успенська, буд. 8, Тульчин, 31635",064 972-03-48,randriichuk@example.com
Давиденко,Климент,Сергійович,male,1943-06-02,Патологоанатом,місто Гірник,"парк Польовий 1-й, буд. 2 кв. 6, Хрустальний, 63159",078 982-99-31,karpazlatoslava@example.org
Батіг,Володимира,Олексіївна,female,1998-12-27,Провізор,селище Кілія,"провулок Костанді, буд. 0, Кам'янка (Черкаська область), 78379",909 38 61,mykhailynapetrenko@example.com
Радченко,Софія,Дмитрівна,female,1973-09-06,Мірошник,село Кривий Ріг,"проспект Астрономічний, буд. 1, Черкаси, 72238",+380 28 779 20 16,vadymkorsun@example.com
Базилевич,Анжела,Євгенівна,female,1997-03-25,Дерун,хутір Городенка,"шосе Східчастий, буд. 4, Роздільна, 96572",037 348 97 75,wmamchur@example.org
Товстуха,Орхип,Максимович,male,2004-07-23,Живописець,місто Новогродівка,"набережна Польова, буд. 365, Докучаєвськ, 84980",627 46 74,danylo55@example.org
Демʼянюк,Тарас,Дмитрович,male,1971-07-17,Композитор,село Бердянськ,"узвіз Кодимський, буд. 894 кв. 4, Хорол, 11760",386-92-38,paliiiustym@example.com
Сацюк,Михайлина,Володимирівна,female,1940-11-06,Клавішник,місто Голубівка,"узвіз Бейтельсбахера, буд. 6, Угнів, 95330",006 52 94,ubatih@example.org
Лисенко,Любов,Миколаївна,female,1991-05-13,Математик,хутір Вуглегірськ,"проспект Косовська, буд. 87, Ківерці, 89110",039 827 70 15,panteleimonzhadan@example.org
Сірко,Гаврило,Іванович,male,1957-03-02,Підприємець,селище Соледар,"проспект Петра Болбочана, буд. 55, Вознесенівка, 74922",+380 (80) 712-43-03,nzaiets@example.com
Кибкало,Веніямин,Євгенович,male,1963-08-22,Різноробочий,хутір Сватове,"вулиця Одеська, буд. 92 кв. 38, Южноукраїнськ, 81902",200-59-03,valentyn00@example.org
Тесленко,Гордій,Миколайович,male,1992-09-15,Археолог,хутір Кадіївка,"площа Бузковий 2-й, буд. 363 кв. 4, Тячів, 01521",+380 85 236 89 92,erikahrechanyk@example.org
Ванченко,Леон,Максимович,male,1953-06-24,Модельєр,хутір Мирноград,"провулок Миколи Гумільова, буд. 6, Рубіжне, 45426",491 90 11,hannamatiash@example.com
Чабан,Артем,Андрійович,male,1974-03-13,Гицель,хутір Теребовля,"вулиця Спиридонівська, буд. 38 кв. 384, Берестечко, 07762",+380 (78) 483-11-18,ieroshenkoiustym@example.net
Нестайко,Ірена,Дмитрівна,female,1965-12-23,Астронавт,селище Вашківці,"набережна 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 948, Заводське, 53898",+380 53 520 26 20,nadiia10@example.net
Полтавець,Тимофій,Денисович,male,2002-06-17,Фрілансер,селище Боярка,"провулок Училищна, буд. 184, Ковель, 33059",+380 20 317-42-18,mykolaizatula@example.org
Бабʼюк,Марта,Романівна,female,1942-09-02,Бухгалтер,село Новоукраїнка,"вулиця Вапняний 2-й, буд. 5, Перевальськ, 11276",060 087-47-58,petroakymenko@example.com
Засядько,Федір,Олександрович,male,1955-03-29,Музичний редактор,село Камінь-Каширський,"провулок Чорноморський 6-й, буд. 09 кв. 5, Дніпро, 93429",016 128 42 43,danylo85@example.org
Іщенко,Богуслав,Вікторович,male,1953-02-15,Акушер,село Кодима,"узвіз Михайла Слабченка, буд. 42, Гірське, 77886",046 583 28 00,obaida@example.net
Барабаш,Віолетта,Максимівна,female,1998-05-30,Модель,село Хрестівка,"узвіз Байкал тупик, буд. 5, Київ, 06393",+380 (59) 875-55-51,redkoedyta@example.net
Дубина,Наталія,Петрівна,female,1973-07-25,Модель,селище Южне,"проспект Василя Симоненка, буд. 76 кв. 468, Бахмут, 49902",+380 60 915-88-71,makarpustovit@example.com
Ткач,Трохим,Миколайович,male,1958-01-19,Стиліст,село Запоріжжя,"площа Житомирський 4-й, буд. 31, Маріуполь, 03143",+380 28 341 30 64,demiannesterenko@example.org
Забара,Антон,Володимирович,male,1957-09-05,Локсмайстер,селище Часів Яр,"провулок Василя Фащенка, буд. 56, Перечин, 62011",189-29-63,feofan41@example.com
Гайденко,Тетяна,Владиславівна,female,1953-02-14,Хімік,селище Ходорів,"узвіз Джерельна, буд. 8 кв. 039, Мала Виска, 81530",+380 05 685-30-68,labaonysym@example.com
Дзиндра,Максим,Романович,male,1981-09-08,Фармацевт,селище Немирів,"набережна Літературна, буд. 06, Тараща, 95312",+380 39 975-10-15,avhustynviter@example.net
Матяш,Ігнат,Володимирович,male,1953-07-16,Науковець,хутір Вуглегірськ,"провулок Глухий міст, буд. 7, Роздільна, 57105",983 07 70,rostyslavkanivets@example.com
Василашко,Софія,Максимівна,female,1967-07-02,Єгер,село Кремінна,"узвіз Килимовий, буд. 0 кв. 090, Кальміуське, 47586",+380 67 763-04-37,nbhydenko@example.org
Гайда,Микита,Павлович,male,1941-04-22,Бібліограф,хутір Конотоп,"проспект Софіївська, буд. 5, Лисичанськ, 26830",050 697-43-05,redkodanna@example.com
Ірванець,Болеслав,Романович,male,2004-03-20,Режисер,місто Скадовськ,"провулок Яблучна, буд. 417, Яготин, 08114",069 268-32-26,daryna15@example.net
Жайворон,Ярина,Денисівна,female,2002-09-12,Слідчий,хутір Борзна,"вулиця Мостовий, буд. 17, Чуднів, 02258",+380 54 065-02-72,vadymvashchuk@example.org
Гузій,Надія,Дмитрівна,female,1945-09-12,Режисер,селище Южноукраїнськ,"вулиця Радісний, буд. 48 кв. 7, Васильків, 36956",090 184-43-19,kovaliukruslan@example.com
Дурдинець,Марта,Вікторівна,female,1938-01-31,Антрополог,селище Волочиськ,"парк Шефська, буд. 975, Свалява, 47955",174-08-85,babychanastasiia@example.org
Яремко,Пилип,Миколайович,male,1953-10-04,Паралегал,селище Білгород-Дністровський,"вулиця Молокова, буд. 62 кв. 0, Маріуполь, 36230",043 40 14,nshcherbak@example.net
Михайлюк,Ірена,Ігорівна,female,1956-07-28,Антрополог,село Селидове,"площа Суперфосфатна, буд. 047 кв. 4, Деражня, 33408",+380 (55) 495-84-69,demian65@example.net
Гаврилишин,Миколай,Євгенович,male,2003-06-18,Сценарист,село Путивль,"набережна Героїв оборони Одеси, буд. 284 кв. 894, Рогатин, 52214",+380 49 980 33 27,viktor14@example.org
Артимишин,Андрій,Дмитрович,male,1972-11-04,Ботанік,село Стрий,"провулок Іванівська, буд. 5 кв. 35, Авдіївка, 56221",046 101-16-50,orysiaeibozhenko@example.com
Христич,Альбіна,Миколаївна,female,1958-05-25,Дизайнер,хутір Рава-Руська,"провулок Балтський 2-й, буд. 3, Кам'янка-Бузька, 89030",361-86-16,rudykirena@example.net
Хоменко,Леонтій,Євгенович,male,2005-06-20,Піаніст,село Часів Яр,"сквер Архітекторська, буд. 388, Бориспіль, 90693",+380 91 877-88-92,semenchenkoazar@example.net
Хмара,Святослав,Ігорович,male,1968-06-29,Реставратор,село Немирів,"парк Жоліо-Кюрі, буд. 693, Вільнянськ, 50783",+380 01 378-63-03,dubasherman@example.com
Прокопович,Валерій,Вікторович,male,1950-01-31,Гірник,село Ясинувата,"проспект Тупиковий, буд. 9 кв. 37, Носівка, 55745",094-71-20,sheremetaartem@example.com
Баран,Леопольд,Павлович,male,1990-12-10,Юрист,селище Мар'їнка,"шосе Вітчизняна, буд. 829, Ржищів, 42824",+380 19 557 30 72,varvaraavdieienko@example.com
Івасюк,Марта,Петрівна,female,1981-01-24,Візажист,селище Полтава,"проспект Прохоровська, буд. 10 кв. 9, Золоте, 29493",699 77 65,olhaiatseniuk@example.org
Рудько,Анжела,Миколаївна,female,1962-01-26,Юрист,хутір Глухів,"вулиця Лінія 43-тя, буд. 548 кв. 291, Мирноград, 26883",+380 35 824-18-41,olenazinchenko@example.com
Дергач,Яків,Олексійович,male,1977-02-11,Стоматолог,місто Харцизьк,"набережна Кордонна, буд. 5, Бучач, 93122",+380 08 413-71-13,hannadeineko@example.org
Ґерус,Варвара,Вікторівна,female,1970-05-16,Архітектор,село Южне,"сквер Ярослава Баїса, буд. 310 кв. 00, Дружківка, 37873",003 744-09-52,nzinchuk@example.net
Чередник,Омелян,Євгенович,male,1987-12-17,Мовознавець,місто Сторожинець,"парк Наливна, буд. 7 кв. 33, Бучач, 53200",058 624-75-07,greva@example.org
Базавлученко,Людмила,Петрівна,female,1939-02-01,Кушнір,місто Зміїв,"парк Юннатів, буд. 5 кв. 70, Харцизьк, 34522",089 744-92-23,gdutka@example.net
Заруба,Ярослав,Олексійович,male,1943-08-16,Математик,хутір Жашків,"узвіз Житомирський 3-й, буд. 4, Калуш, 96661",+380 81 312-70-23,qhavrylets@example.net
Даниленко,Стефан,Дмитрович,male,1975-11-11,Економіст,селище Керч,"вулиця 6-та Лінія Марії Демченко, буд. 2, Моршин, 30354",219-13-74,artem80@example.net
Затула,Марʼяна,Владиславівна,female,1944-10-09,Бібліограф,селище Нікополь,"проспект Семінарська, буд. 2 кв. 5, Снятин, 31572",128 72 24,tereshchenkoielysei@example.com
Рева,Амвросій,Максимович,male,1970-05-10,Кінорежисер,місто Донецьк,"набережна Велика Арнаутська, буд. 6, Хирів, 06229",558-73-35,bohdannaartymyshyn@example.com
Андрійович,Орися,Максимівна,female,1989-12-02,Клоун,селище Рубіжне,"узвіз Дмитра Годзенка, буд. 873 кв. 306, Сокологірськ, 99091",635-73-96,saliiliudmyla@example.org
Радченко,Болеслав,Васильович,male,1992-05-14,Кінорежисер,село Рудки,"шосе Сергія Шелухина, буд. 89 кв. 249, Єнакієве, 08186",+380 53 712-56-14,babychazar@example.org
Бандурка,Єлисавета,Артемівна,female,1939-07-06,Інженер,місто Миколаїв,"сквер Колективний, буд. 018, Мерефа, 10341",+380 32 158-55-16,kvakhnii@example.org
Гузій,Розалія,Романівна,female,1960-01-29,Ветеринар,місто Павлоград,"набережна Заводська 3-тя, буд. 9, Сокиряни, 61466",046 083 87 35,tytarenkooleksandr@example.org
Дубас,Пріска,Іванівна,female,2002-09-29,Епідеміолог,селище Заводське,"набережна Лінія 38-ма, буд. 032 кв. 94, Кипуче, 12604",+380 16 792-77-81,skopytko@example.com
Перепелиця,Артем,Ігорович,male,1978-10-26,Графік,місто Мостиська,"сквер Дениса Максишка, буд. 69 кв. 8, Дрогобич, 40950",055 889 89 48,iustymiukhymenko@example.org
Парасюк,Олександр,Ігорович,male,1991-02-22,Дерун,хутір Міусинськ,"проспект Слави, буд. 78, Остер, 81666",+380 (06) 575-45-07,smykkhoma@example.org
Андрієнко,Федір,Андрійович,male,1956-11-25,Історик,село Коростишів,"сквер Балківська, буд. 0, Чоп, 22860",+380 49 638-62-54,omelianzinchenko@example.com
Ковпак,Варфоломій,Андрійович,male,2004-06-06,Медик,селище Отаманівка,"вулиця 15-та ст. Великого Фонтану пляж, буд. 6 кв. 0, Умань, 25225",+380 (11) 596-18-30,zlatoslavazharko@example.org
Даценко,Орест,Володимирович,male,1988-11-13,Візажист,селище Новий Калинів,"сквер Вершинна, буд. 370, Чуднів, 07034",+380 27 728-56-98,zabilaliudmyla@example.com
Дуплій,Роман,Володимирович,male,2007-10-17,Головний меркшейдер,місто Красноперекопськ,"набережна Донцова Дмитра, буд. 10, Сніжне, 55856",516-71-36,viktoriiavakhnii@example.org
Чередник,Мирон,Іванович,male,2007-08-13,Геолог,село Алушта,"провулок Місячна, буд. 872 кв. 301, Алупка, 97586",+380 53 555-08-45,ievtushenkovarfolomii@example.org
Юрчук,Камілла,Владиславівна,female,1956-05-09,Доцент,місто Благовіщенське,"площа Леоніда Осики, буд. 7, Васильків, 99040",+380 (38) 668-96-61,simashkevychhlib@example.com
Ніколюк,Марта,Миколаївна,female,1938-12-25,Футболіст,селище Вишгород,"провулок Святослава Ріхтера, буд. 8, Красногорівка, 96991",892-50-87,lahodaarsen@example.org
Дацюк,Юхим,Романович,male,2004-03-10,Співак,селище Борщів,"шосе Москеті, буд. 8, Куп'янськ, 69369",035 549-76-73,rakmartyn@example.com
Зінчук,Миколай,Іванович,male,1995-04-04,Фрілансер,селище Ківерці,"узвіз Амундсена, 3-й, буд. 7, Зеленодольськ, 09635",038 067-22-36,mvlokh@example.org
Запорожець,Нестор,Олександрович,male,1960-12-17,Мікробіолог,хутір Бережани,"проспект Кощового отамана, буд. 6, Радехів, 05362",067 888 61 00,lizafranko@example.com
Орлик,Вадим,Дмитрович,male,1959-10-23,Актор,хутір Зіньків,"парк Слобідська, буд. 641, Вараш, 33980",052 491-99-36,liubovdzyndra@example.net
Щириця,Єфрем,Петрович,male,1981-08-28,Ботанік,село Узин,"шосе Ракетна, буд. 14 кв. 8, Рівне, 06990",465-59-39,habelkookhrim@example.org
Жайворон,Людмила,Артемівна,female,1947-07-14,Підприємець,село Городенка,"вулиця Каховський, буд. 6, Харцизьк, 47590",527 98 14,ustenkomykolai@example.com
Артимович,Пантелеймон,Вікторович,male,1955-06-03,Геолог,селище Залізне,"узвіз Житомирська, буд. 19 кв. 7, Болград, 49579",384 52 96,tsymbaliukmaksym@example.net
Рябченко,Григорій,Васильович,male,1946-01-04,Петрограф,селище Корюківка,"узвіз 21-й км Старокиївської дороги, буд. 43 кв. 809, Українка, 50366",+380 38 709 78 34,klyment29@example.org
Франко,Богуслав,Павлович,male,1950-09-13,Кухар,селище Зимогір'я,"площа Пляжна, буд. 96, Сокиряни, 73462",557-62-84,fovcharenko@example.net
Бараник,Олена,Владиславівна,female,1954-07-19,Педагог,хутір Ізюм,"сквер Миколи Бурачека, буд. 243, Городня, 79903",745 38 04,ihor25@example.org
Дурдинець,Демид,Павлович,male,1980-10-19,Лікар,хутір Новогродівка,"узвіз Старорізнична, буд. 624, Малин, 44429",+380 33 484-24-18,dashenkohryhorii@example.net
Носенко,Маруся,Володимирівна,female,1990-12-19,Геофізик,селище Городня,"парк Дюківський сад, буд. 009 кв. 765, Яготин, 37564",+380 20 213 66 91,irynazatovkaniuk@example.org
Романець,Іван,Владиславович,male,1978-07-16,Стоматолог,селище Мерефа,"вулиця Садовий, буд. 243, Одеса, 05954",+380 81 728 85 58,andriishynaokseniia@example.com
Бездітко,Микита,Максимович,male,1961-11-15,Секретар,село Бровари,"провулок 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 8, Сіверськодонецьк, 40363",012 685 18 03,parmenzhuchenko@example.org
Журавель,Михайло,Васильович,male,1952-09-25,Нотаріус,селище Вознесенськ,"провулок 2-га Лінія Марії Демченко, буд. 620, Овруч, 78333",+380 48 004 16 88,drobiazkolarysa@example.net
Кащенко,Аркадій,Андрійович,male,1973-05-11,Паблік рилейшнз,селище Миронівка,"провулок Бокаріуса, буд. 2 кв. 5, Березань, 45384",+380 01 633 71 81,snizhanaudovychenko@example.net
Скиба,Андрій,Вікторович,male,1988-08-12,Мінералог,селище Часів Яр,"узвіз 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 5, Кам'янка (Черкаська область), 85036",+380 92 976-61-15,jakymenko@example.org
Аронець,Лесь,Дмитрович,male,1972-08-24,Композитор,селище Мар'їнка,"сквер Докова, буд. 89 кв. 3, Тальне, 84999",+380 (07) 942-90-15,eartiushenko@example.net
Корсун,Мирослав,Олександрович,male,1999-06-19,Мінералог,хутір Вижниця,"парк Крушельницької, буд. 10 кв. 3, Шахтарське, 88121",+380 18 633-23-83,oles92@example.com
Лаба,Оксенія,Дмитрівна,female,1983-04-13,Доцент,селище Хмельницький,"вулиця Віктора Скаржинського узвіз, буд. 7, Нікополь, 99329",081 024-62-19,havryshmartyn@example.net
Малишко,Микита,Васильович,male,1976-01-16,Золотар,селище Павлоград,"шосе Острозька, буд. 57, Ізмаїл, 42733",246-36-25,zumanets@example.net
Карась,Максим,Вікторович,male,1982-12-17,Кінорежисер,хутір Тульчин,"сквер Поліська, буд. 96, Моспине, 63167",+380 20 505-46-45,vlasenkomykhailo@example.org
Червоненко,Альберт,Іванович,male,1999-10-21,Пілот,селище Суходільськ,"сквер Весняна, буд. 221 кв. 98, Мостиська, 83930",+380 06 375 85 53,mariiasirko@example.com
Христенко,Максим,Вікторович,male,1982-04-09,Мовознавець,місто Біла Церква,"проспект Манежний, буд. 33, Південне, 41251",330-42-01,viktor16@example.org
Базилевський,Ігор,Вікторович,male,1948-01-04,Продюсер,місто Славутич,"проспект Мариністів, буд. 5, Мерефа, 51037",526 28 54,zorian09@example.com
Стець,Сергій,Євгенович,male,2001-09-03,Євнух,хутір Зміїв,"вулиця Чорноморський 12-й, буд. 8, Тальне, 26848",980 04 76,bohdanna31@example.net
Литвиненко,Стефан,Васильович,male,1941-05-10,Архітектор,селище Добромиль,"проспект Газова, буд. 344, Маріуполь, 51070",+380 30 689 19 77,dan32@example.org
Оніщук,Альберт,Павлович,male,1992-09-18,Філолог,місто Вознесенівка,"набережна Чорноморський 12-й, буд. 56 кв. 9, Лохвиця, 26533",561-00-30,rostyslavsuprunenko@example.net
Дзюба,Федір,Сергійович,male,1993-03-08,Дипломат,хутір Покров,"набережна Василя Кандинського 5-й, буд. 541, Моршин, 79535",062 360-39-15,stymchuk@example.com
Лагода,Едита,Артемівна,female,1948-11-06,Дипломат,хутір Вугледар,"парк Цукровий, буд. 935 кв. 606, Ромни, 88905",+380 30 758 38 50,nosenkoiustyna@example.org
Радченко,Валентин,Вікторович,male,1994-08-27,Секретар,селище Житомир,"узвіз Кустанайська, буд. 5 кв. 77, Гнівань, 42431",+380 91 123 95 02,sirobabavolodymyra@example.com
Авдєєнко,Федір,Володимирович,male,1963-09-24,Дизайнер,село Арциз,"вулиця Молокова, буд. 64, Оріхів, 57748",+380 (27) 790-49-20,onysym63@example.net
Мірошниченко,Августин,Іванович,male,1944-01-21,Агроном,місто Костянтинівка,"набережна Льва Симиренка, буд. 26, Миколаївка, 71951",016-02-63,qbarabash@example.com
